pid,activity_score,num_min_speaking,session_year
10,77,77,2023
11,36,36,2023
16,206,206,2023
17,113,113,2023
19,213,213,2023
22,204,204,2023
28,227,227,2023
29,71,71,2023
30,231,231,2023
38,116,116,2023
42,111,111,2023
47,322,322,2023
65,112,112,2023
69,92,92,2023
70,316,316,2023
71,195,195,2023
72,367,367,2023
75,119,119,2023
77,562,562,2023
78,423,423,2023
84,210,210,2023
93,151,151,2023
106,323,323,2023
108,102,102,2023
110,414,414,2023
119,128,128,2023
120,38,38,2023
1989,83,83,2023
3108,520,520,2023
5510,219,219,2023
13069,130,130,2023
17377,149,149,2023
21275,200,200,2023
34362,904,904,2023
34364,517,517,2023
34399,256,256,2023
34400,222,222,2023
35053,90,90,2023
35497,678,678,2023
36368,203,203,2023
36813,56,56,2023
37359,34,34,2023
100930,37,37,2023
100931,12,12,2023
100932,71,71,2023
100935,232,232,2023
100936,537,537,2023
100938,285,285,2023
100939,221,221,2023
100941,363,363,2023
100944,142,142,2023
100945,483,483,2023
101329,109,109,2023
101330,707,707,2023
101332,964,964,2023
112993,266,266,2023
113915,394,394,2023
120720,338,338,2023
133512,123,123,2023
144588,167,167,2023
149519,169,169,2023
149649,212,212,2023
160858,135,135,2023
161477,183,183,2023
162481,89,89,2023
164206,103,103,2023
164699,477,477,2023
165034,162,162,2023
165035,219,219,2023
165039,80,80,2023
165040,109,109,2023
165041,76,76,2023
165042,195,195,2023
165043,438,438,2023
165044,207,207,2023
165414,610,610,2023
165415,40,40,2023
165416,97,97,2023
165417,180,180,2023
165418,212,212,2023
165419,12,12,2023
165420,45,45,2023
165421,148,148,2023
165422,222,222,2023
165423,98,98,2023
165424,65,65,2023
165425,145,145,2023
165426,54,54,2023
165427,63,63,2023
165428,121,121,2023
165429,173,173,2023
165430,49,49,2023
165431,36,36,2023
165432,206,206,2023
165433,226,226,2023
165434,227,227,2023
165435,204,204,2023
165436,324,324,2023
165437,198,198,2023
165438,117,117,2023
165439,17,17,2023
165440,164,164,2023
165441,222,222,2023
165442,231,231,2023
165443,314,314,2023
165444,129,129,2023
165445,373,373,2023
165446,329,329,2023
165447,76,76,2023
165448,503,503,2023
165449,362,362,2023
165450,456,456,2023
165451,224,224,2023
165452,186,186,2023
165453,234,234,2023
165454,168,168,2023
165455,142,142,2023
165456,55,55,2023
165457,35,35,2023
165458,133,133,2023
