,pid,ideology
0,2,-0.878362
1,7,-0.948147
2,8,-0.792439
3,10,0.932637
4,11,-0.716396
5,16,-0.526807
6,17,-0.747348
7,19,0.377464
8,20,-1.0
9,21,-0.630653
10,22,-1.0
11,23,-0.896023
12,27,-0.532952
13,28,-0.651209
14,29,0.48826
15,30,-0.758013
16,31,-0.827999
17,34,-0.553422
18,36,-0.862612
19,38,-0.771906
20,41,1.0
21,42,0.97517
22,45,-0.5777
23,47,0.68796
24,48,-0.776508
25,53,-0.999545
26,55,-1.0
27,58,0.83738
28,62,-0.916519
29,65,0.779953
30,68,0.956229
31,69,-0.444292
32,70,-0.824307
33,71,-0.634932
34,72,-0.754311
35,75,0.838548
36,77,1.0
37,78,-0.737933
38,79,-0.274891
39,81,-0.811711
40,84,-0.398946
41,91,1.0
42,93,-0.820782
43,96,-0.884043
44,106,-0.594016
45,108,0.915995
46,110,-0.793273
47,112,-0.87647
48,113,-0.705967
49,114,-0.553113
50,116,-0.859435
51,118,-0.699853
52,119,0.845685
53,120,-0.79109
54,1989,-0.332503
55,3108,-1.0
56,5510,-0.609213
57,7492,-0.829978
58,13069,-0.907649
59,17377,-0.707156
60,21275,-0.931279
61,34362,-0.732585
62,34364,-0.881058
63,34399,-0.610685
64,34400,-0.488252
65,35053,-0.760887
66,35497,-0.940621
67,36368,-0.398771
68,36813,-0.350711
69,37359,-0.441198
70,100927,0.447941
71,100930,0.865189
72,100931,0.78414
73,100932,-0.461184
74,100934,0.865934
75,100935,-0.688374
76,100936,-0.827524
77,100938,-0.881502
78,100939,0.986237
79,100940,0.798079
80,100941,-0.731148
81,100942,1.0
82,100944,-0.751878
83,100945,-0.965912
84,101329,-0.492573
85,101330,-0.362278
86,101332,-0.555057
87,112993,-0.633889
88,113915,-0.891389
89,120720,-0.428686
90,133512,0.87019
91,144588,-0.74847
92,149519,-0.85208
93,149649,-0.445717
94,152108,-1.0
95,160858,-0.672858
96,161477,-0.751207
97,162481,-0.842206
98,164161,-0.871528
99,164206,-0.716396
100,164699,-0.836287
101,165034,-0.746149
102,165035,-0.651178
103,165037,0.825435
104,165039,-0.538675
105,165040,-0.504599
106,165041,-0.712891
107,165042,-0.411254
108,165043,-0.786806
109,165044,-0.730325
110,165414,-0.534574
111,165415,0.940377
112,165416,-0.79328
113,165417,-0.719336
114,165418,-0.779311
115,165419,1.0
116,165420,0.66956
117,165421,0.886616
118,165422,-0.907689
119,165423,-0.720106
120,165424,-0.32789
121,165425,-0.744586
122,165426,-0.702564
123,165427,-0.747406
124,165428,-0.701421
125,165429,-0.752769
126,165430,-0.454812
127,165431,0.886616
128,165432,-0.744027
129,165433,-0.289754
130,165434,-0.50813
131,165435,-0.790818
132,165436,-0.836352
133,165437,-0.79268
134,165438,-0.7242
135,165439,0.437342
136,165440,-0.840716
137,165441,-0.766712
138,165442,0.677191
139,165443,-0.706507
140,165444,1.0
141,165445,-0.877654
142,165446,0.729973
143,165447,-0.43698
144,165448,-0.954786
145,165449,-0.811988
146,165450,0.526301
147,165451,-0.735932
148,165452,-0.956164
149,165453,-0.781098
150,165454,-0.631403
151,165455,-0.737322
152,165456,0.447638
153,165457,0.654664
154,165458,0.780065
155,165460,1.0
156,165461,0.582137
