,pid,lastName,firstName,Chamber,District,Party,American Civil Liberties Union of California,"American Federation of State, County and Municipal Employees (AFSCME)",Bay Area Council,California Apartment Association,California Association Of Realtors,California Catholic Conference,California Chamber of Commerce,California Chapter National Association of Social Workers,California District Attorneys Association,California Environmental Voters,California Faculty Associaiton,California Housing Partnership,California Immigrant Policy Center,California Labor Federation,California Manufacturers And Technology Association,California Medical Association,California Nurses Association,California Pan-Ethnic Health Network,California Professional Firefighters,California Public Defenders,California School Employees Association,California Sheriffs Association,California Special Districts Association,California State Association Of Counties,Children Now,Consumer Attorneys Of California,Disability Rights California,Ella Baker Center For Human Rights,Friends Committee on Legislation in California,International Brotherhood of Teamsters (IBT),League Of California Cities,Legal Services for Prisoners,National Resources Defense Council,Oakland Privacy,Peace Officers Research Association Of California,Planned Parenthood,Rural Counties Representatives of California,San Francisco Public Defender,Service Employees International Union (SEIU),Sierra Club California,Western Center on Law and Poverty
0,10,Lackey,Tom,Assembly,34,Republican,0.329524,0.593156,0.767857,0.825,0.885057,0.713483,0.841004,0.608856,0.935897,0.391304,0.591837,0.511111,0.552083,0.342697,0.912621,0.698413,0.272727,0.664179,0.707317,0.375394,0.5625,0.883002,0.722772,0.745387,0.796992,0.603175,0.638158,0.359375,0.235602,0.436975,0.752632,0.335664,0.504587,0.38806,0.937716,0.6,0.808383,0.322034,0.418605,0.461957,0.569444
1,11,Low,Evan,Assembly,26,Democrat,0.736486,0.958159,0.821429,0.755814,0.764706,0.887218,0.467213,0.990783,0.757709,0.985294,0.905263,1.0,0.966443,0.930876,0.373832,0.877551,0.847059,0.956044,0.96748,0.677551,0.975207,0.637755,0.647059,0.707317,1.0,0.955224,0.899281,0.89011,0.92381,0.909091,0.631944,0.694268,0.923077,0.866667,0.864865,0.991453,0.81746,0.794872,0.916667,0.888889,0.988024
2,16,Irwin,Jacqui,Assembly,42,Democrat,0.609053,0.977273,0.788462,0.763441,0.727273,0.832,0.477099,0.946602,0.889571,1.0,0.939394,1.0,0.903448,0.9,0.429825,0.857143,0.776316,0.946809,0.94898,0.551136,0.954955,0.737931,0.677966,0.756757,0.990654,0.953846,0.861386,0.763158,0.78481,0.889908,0.727941,0.580357,0.903509,0.825,0.865385,0.971429,0.852713,0.621622,0.888372,0.858824,0.941176
3,17,Santiago,Miguel,Assembly,54,Democrat,0.756335,0.972892,0.794118,0.718447,0.696203,0.900862,0.370149,0.997658,0.697674,0.972603,0.978261,1.0,0.973684,0.977099,0.362319,0.889313,0.825397,0.967742,0.960265,0.744681,0.983784,0.588832,0.652778,0.713115,0.987705,0.981818,0.831169,0.941463,0.938679,0.932886,0.648148,0.764706,0.937107,0.924242,0.759615,0.996875,0.815476,0.833333,0.96,0.865672,0.97619
4,19,Wilk,Scott,Senate,21,Republican,0.434524,0.540342,0.781818,0.747525,0.755102,0.830189,0.783838,0.704434,0.858268,0.46875,0.601562,0.574257,0.578512,0.379545,0.811594,0.65445,0.353383,0.542253,0.590244,0.407051,0.523132,0.87907,0.754237,0.723214,0.823045,0.551724,0.66187,0.430657,0.401274,0.403774,0.751938,0.4,0.514563,0.479167,0.877095,0.569061,0.823293,0.23913,0.37844,0.494737,0.648794
5,22,McCarty,Kevin,Assembly,6,Democrat,0.72467,0.964744,0.777778,0.631148,0.633663,0.887892,0.3125,1.0,0.765734,1.0,1.0,1.0,0.987395,0.974194,0.277487,0.854626,0.823529,0.943965,0.970238,0.668605,0.95814,0.708812,0.55814,0.666667,0.981061,0.983051,0.847534,0.789773,0.851429,0.941489,0.660098,0.652968,0.902222,0.851852,0.85641,0.995122,0.823256,0.634328,0.94362,0.86828,0.971989
6,28,Gipson,Mike,Assembly,65,Democrat,0.738532,0.980488,0.782609,0.842105,0.765432,0.895161,0.492537,1.0,0.787879,1.0,0.977778,1.0,0.984,0.952381,0.43617,0.850467,0.821918,0.94186,0.959016,0.68,0.967391,0.676471,0.569444,0.717172,1.0,0.967213,0.920354,0.853333,0.947917,0.903704,0.63125,0.767241,0.919643,0.971429,0.848485,0.990385,0.844444,0.745098,0.925532,0.845714,0.976879
7,29,Waldron,Marie,Assembly,75,Republican,0.37751,0.588679,0.727273,0.75,0.741071,0.768,0.70073,0.751799,0.9,0.61194,0.62963,0.625,0.544379,0.428571,0.857143,0.746412,0.345794,0.735426,0.716129,0.421053,0.62406,0.858025,0.732877,0.733108,0.872093,0.626984,0.666667,0.640449,0.5,0.453782,0.778802,0.446429,0.466667,0.611111,0.921569,0.582569,0.796954,0.536585,0.506224,0.439153,0.716981
8,30,Ting,Philip,Assembly,19,Democrat,0.713864,0.968468,0.80303,0.635514,0.647887,0.843537,0.411765,1.0,0.738589,1.0,0.98,1.0,0.988372,0.978261,0.335821,0.831776,0.819277,0.944444,0.983051,0.698305,0.983471,0.668085,0.6,0.709184,1.0,0.976048,0.866667,0.802632,0.811189,0.933824,0.689441,0.661692,0.959732,0.810811,0.887006,0.992958,0.823077,0.65812,0.936364,0.915179,0.973404
9,38,Garcia,Eduardo,Assembly,36,Democrat,0.77492,0.986928,0.841463,0.728,0.708333,0.88587,0.405263,0.993789,0.778243,0.988235,0.983871,1.0,0.975248,0.965385,0.337143,0.896825,0.84375,0.971098,0.97351,0.728346,0.972414,0.679612,0.612245,0.703557,0.994318,0.97619,0.901734,0.91,0.946565,0.916667,0.619792,0.77439,0.914798,0.904762,0.890756,0.99495,0.847826,0.891304,0.952381,0.855263,0.988462
10,42,Jones,Brian,Senate,40,Republican,0.276498,0.376,0.818182,0.766355,0.855422,0.596491,0.866906,0.491304,0.885906,0.14433,0.508475,0.47541,0.302326,0.128079,0.92233,0.426966,0.202247,0.402299,0.495146,0.276836,0.322148,0.835938,0.716667,0.727811,0.691667,0.357798,0.507936,0.414894,0.211009,0.403509,0.700787,0.367188,0.283582,0.446809,0.883495,0.447154,0.805556,0.166667,0.176796,0.270742,0.455128
11,47,Dahle,Brian,Senate,1,Republican,0.288,0.35124,0.780952,0.764706,0.857143,0.641026,0.851852,0.544041,0.919753,0.252747,0.45098,0.492958,0.351351,0.192825,0.919753,0.56701,0.224719,0.47619,0.516129,0.295082,0.366197,0.863636,0.775,0.752066,0.695652,0.433824,0.483051,0.303371,0.236641,0.35625,0.695067,0.298969,0.326087,0.446809,0.836207,0.428571,0.853261,0.128205,0.2,0.300518,0.537634
12,65,Nguyen,Janet,Senate,36,Republican,0.41453,0.566265,0.773913,0.75,0.827586,0.797101,0.850427,0.696035,0.896947,0.21374,0.61039,0.554455,0.604478,0.326531,0.889474,0.640411,0.303226,0.613636,0.561086,0.360656,0.487069,0.883333,0.74359,0.671463,0.855263,0.592105,0.695122,0.374101,0.30102,0.391892,0.709459,0.337349,0.41048,0.530303,0.871345,0.532423,0.739286,0.212766,0.391521,0.370057,0.717352
13,69,Rodriguez,Freddie,Assembly,53,Democrat,0.723502,0.965753,0.758621,0.86747,0.836364,0.832061,0.364,0.996479,0.870748,1.0,0.98,1.0,0.981818,0.982456,0.391753,0.879828,0.83,0.96281,0.980519,0.653333,0.980132,0.804511,0.621622,0.716346,0.994764,0.98374,0.829545,0.9,0.930233,0.957747,0.669065,0.70297,0.925926,0.942857,0.960396,0.99569,0.808824,0.777778,0.956522,0.871951,0.968454
14,70,Allen,Benjamin,Senate,24,Democrat,0.770344,0.95186,0.884892,0.733591,0.631068,0.883019,0.339655,0.99093,0.7603,0.932203,0.934579,0.956204,0.98062,0.949296,0.303419,0.801932,0.904412,0.971429,0.970339,0.740132,0.940711,0.636364,0.753086,0.748201,0.971831,0.941379,0.86859,0.933333,0.973958,0.875,0.724719,0.790698,0.923304,0.767677,0.784091,1.0,0.809061,0.690476,0.918919,0.873585,0.974596
15,71,Dodd,Bill,Senate,3,Democrat,0.731377,0.884013,0.9,0.852941,0.666667,0.861386,0.467866,0.973684,0.809917,0.889908,0.901639,0.92233,0.91,0.885906,0.47093,0.795455,0.755319,0.952756,0.933735,0.662252,0.907407,0.706186,0.720721,0.726688,0.976048,0.906542,0.857759,0.825397,0.868056,0.816964,0.684211,0.722628,0.909091,0.779661,0.830065,0.993827,0.841897,0.511628,0.844937,0.822823,0.957958
16,72,Wood,Jim,Assembly,2,Democrat,0.761905,0.970238,0.822917,0.763889,0.63,0.867925,0.37037,0.99705,0.776699,0.976923,0.984375,1.0,0.990244,0.980989,0.341615,0.854772,0.798561,0.969582,0.967742,0.715,0.97619,0.685083,0.623656,0.699301,0.99495,0.95625,0.837563,0.921348,0.950355,0.922581,0.621212,0.744966,0.877551,0.945946,0.882883,0.99661,0.77619,0.875,0.962838,0.864608,0.964912
17,75,Mathis,Devon,Assembly,33,Republican,0.339806,0.512315,0.746479,0.821782,0.80303,0.658537,0.885246,0.583756,0.929032,0.46875,0.434783,0.566038,0.416,0.235294,0.972727,0.671429,0.289855,0.512195,0.610526,0.329341,0.5,0.873016,0.757143,0.823864,0.802083,0.526316,0.712871,0.292308,0.208791,0.391608,0.806452,0.31068,0.341463,0.37931,0.910256,0.471264,0.892617,0.212121,0.34434,0.365517,0.545455
18,77,Grove,Shannon,Senate,12,Republican,0.322581,0.407821,0.859649,0.797468,0.847458,0.719512,0.839572,0.590062,0.891089,0.349515,0.529412,0.6,0.308642,0.176923,0.887324,0.607595,0.261538,0.507246,0.6,0.292308,0.416667,0.829545,0.796296,0.742188,0.737864,0.448718,0.526316,0.493333,0.304878,0.314607,0.790476,0.387097,0.351852,0.487805,0.862069,0.492537,0.821782,0.176471,0.272109,0.346369,0.584507
19,78,Holden,Chris,Assembly,41,Democrat,0.787535,0.983819,0.828571,0.641176,0.69,0.868571,0.352657,1.0,0.759825,0.975309,0.985075,1.0,0.990741,0.974729,0.295566,0.813008,0.872727,0.962406,0.974684,0.727273,0.96,0.614213,0.51,0.641509,0.993151,0.952756,0.888889,0.931373,0.950355,0.937824,0.578947,0.761905,0.92,0.944444,0.880342,0.994624,0.80625,0.901961,0.972973,0.861635,0.984252
20,84,Maienschein,Brian,Assembly,76,Democrat,0.562674,0.808901,0.674699,0.730539,0.669492,0.759091,0.519512,0.891566,0.876923,1.0,0.791667,0.955556,0.708696,0.672662,0.509434,0.845133,0.620438,0.794355,0.807453,0.545918,0.82716,0.792135,0.607477,0.703571,0.951807,0.838596,0.77907,0.813725,0.716667,0.732955,0.683616,0.583333,0.78125,0.915493,0.876106,0.833333,0.759036,0.756757,0.73297,0.774359,0.817102
21,93,McGuire,Mike,Senate,2,Democrat,0.785575,0.959184,0.875,0.806897,0.676856,0.888087,0.380334,0.989011,0.749117,0.97561,0.966942,0.945122,0.978022,0.958115,0.369863,0.817757,0.891473,0.978142,0.947598,0.725373,0.957031,0.644269,0.67284,0.713318,0.973485,0.94902,0.888889,0.902778,0.958763,0.866013,0.688705,0.778409,0.947368,0.84375,0.779661,1.0,0.809836,0.666667,0.938119,0.887234,0.98152
22,106,Roth,Richard,Senate,31,Democrat,0.745833,0.939271,0.916084,0.885593,0.804734,0.820175,0.459402,0.973034,0.8625,0.946667,0.955056,0.944,0.954733,0.923706,0.480769,0.75,0.828947,0.949833,0.920705,0.667832,0.949791,0.782805,0.727941,0.719807,0.966667,0.916996,0.861027,0.873016,0.88961,0.808889,0.690691,0.703704,0.908654,0.785714,0.895062,0.952522,0.791519,0.55,0.897436,0.807692,0.964286
23,108,Gallagher,James,Assembly,3,Republican,0.250859,0.477966,0.769231,0.787611,0.795455,0.622857,0.896875,0.602007,0.937759,0.285714,0.442308,0.351351,0.30102,0.197628,0.94964,0.669421,0.241758,0.503401,0.588235,0.326087,0.454545,0.893204,0.726316,0.834025,0.816993,0.604651,0.666667,0.268293,0.185185,0.317919,0.761364,0.235714,0.298343,0.407407,0.897436,0.409639,0.912791,0.129032,0.296578,0.326984,0.534351
24,110,Atkins,Toni,Senate,39,Democrat,0.761682,0.942249,0.869565,0.766304,0.669065,0.878641,0.35376,0.997093,0.735294,0.958904,0.939394,0.957895,0.990385,0.964912,0.344828,0.846667,0.897959,0.979452,0.950276,0.706667,0.966102,0.623037,0.627451,0.674342,0.977528,0.970588,0.872247,0.888,0.972603,0.902439,0.666667,0.798507,0.94,0.854545,0.790541,0.993902,0.802885,0.644444,0.93125,0.849315,0.979827
25,119,Patterson,Jim,Assembly,8,Republican,0.226415,0.471366,0.746032,0.872549,0.886076,0.661417,0.920962,0.567961,0.920245,0.447761,0.5,0.616667,0.408805,0.247706,0.908451,0.679688,0.273684,0.516779,0.619469,0.372881,0.467213,0.876712,0.706667,0.748691,0.77037,0.547619,0.62069,0.489583,0.22449,0.330986,0.741497,0.382114,0.328,0.634146,0.89,0.408537,0.821429,0.5,0.302439,0.336493,0.495455
26,120,Rendon,Anthony,Assembly,62,Democrat,0.767857,0.987013,0.764706,0.752809,0.724138,0.888889,0.374468,1.0,0.739394,1.0,0.977273,1.0,0.985401,0.987879,0.322034,0.910256,0.868421,0.96875,0.960784,0.722222,0.981132,0.639706,0.608696,0.72067,1.0,0.974359,0.931373,0.916667,0.958333,0.959016,0.584746,0.75,0.909091,0.935484,0.861702,0.990741,0.82906,0.880952,0.955556,0.879377,0.993506
27,1989,Soria,Esmeralda,Assembly,27,Democrat,0.769231,0.98,0.65625,0.945946,0.714286,0.822222,0.453125,1.0,0.970588,0.979592,1.0,1.0,0.970588,0.948276,0.47619,0.923077,0.935484,0.909091,1.0,0.777778,0.962963,0.76,0.615385,0.675676,1.0,0.964286,0.923077,0.846154,0.916667,0.9375,0.717391,0.818182,1.0,0.96,0.948718,1.0,0.638889,0.730769,0.985075,1.0,0.96
28,3108,Laird,John,Senate,17,Democrat,0.7,0.920792,0.707692,0.619565,0.376812,0.844156,0.20438,0.986755,0.758065,0.959732,0.985075,0.920635,0.952381,0.956175,0.123596,0.85,0.933333,0.949153,0.933333,0.77381,0.920635,0.603774,0.559322,0.625,1.0,0.882353,0.824561,0.876404,0.975904,0.941176,0.641026,0.933333,0.908163,0.761364,0.756757,1.0,0.6125,0.53125,0.922764,0.847328,0.962963
29,5510,Schiavo,Pilar,Assembly,40,Democrat,0.785714,0.96,0.611111,0.763158,0.68,0.836735,0.340426,1.0,0.829268,0.988372,1.0,1.0,0.971429,0.967742,0.288889,0.898305,0.871795,0.931035,0.939394,0.836735,1.0,0.714286,0.684211,0.688889,1.0,1.0,0.860465,0.92,0.977273,0.964286,0.711864,0.842105,0.961538,0.92,0.852941,1.0,0.725,0.827586,1.0,0.901099,0.971831
30,13069,Limon,Monique,Senate,19,Democrat,0.767544,0.921951,0.829268,0.722222,0.566038,0.855856,0.244898,1.0,0.813559,0.963235,0.966667,0.942029,0.981818,0.96789,0.242991,0.836257,0.8,0.965517,0.962963,0.755556,0.97561,0.663265,0.592105,0.688525,1.0,0.975806,0.817143,0.83871,0.97561,0.922581,0.712418,0.862745,0.94359,0.818182,0.717949,1.0,0.758621,0.567568,0.918605,0.899225,0.971875
31,17377,Arambula,Joaquin,Assembly,31,Democrat,0.699507,0.978814,0.714286,0.765306,0.741379,0.849398,0.360515,0.989247,0.883562,1.0,0.922414,0.977778,0.951389,0.958549,0.37069,0.894737,0.824176,0.940789,0.961905,0.704403,1.0,0.720339,0.635135,0.758427,0.995,0.950413,0.901961,0.87156,0.892857,0.981132,0.685714,0.755102,0.948718,0.959184,0.857143,1.0,0.819672,0.770492,0.953901,0.887006,0.972696
32,21275,Blakespear,Catherine,Senate,38,Democrat,0.709677,0.842105,0.869565,0.904762,0.422535,0.85,0.294118,0.961905,0.792453,0.953271,0.97619,0.915094,0.923077,0.858491,0.235294,0.9,0.906977,0.973684,0.909091,0.7375,0.901408,0.552632,0.553571,0.719626,1.0,0.846154,0.818182,0.808219,0.941176,0.827273,0.601626,0.8,0.943662,0.77551,0.645161,1.0,0.61194,0.483871,0.866071,0.862069,0.89899
33,34362,Portantino,Anthony,Senate,25,Democrat,0.779614,0.941781,0.835294,0.780645,0.669725,0.907767,0.341615,0.986928,0.798913,0.96,0.946667,0.952941,0.965517,0.966867,0.302158,0.818841,0.896552,0.961538,0.948571,0.733607,0.965116,0.671756,0.623762,0.683398,0.977528,0.92973,0.889344,0.872727,0.959677,0.919149,0.707317,0.87013,0.961538,0.84058,0.80292,1.0,0.792746,0.55814,0.950685,0.896907,0.985549
34,34364,Skinner,Nancy,Senate,9,Democrat,0.779592,0.908088,0.909604,0.855124,0.626316,0.90404,0.366093,0.990415,0.704403,0.928144,0.945946,0.950549,0.9875,0.939103,0.306931,0.832061,0.888889,0.947368,0.954545,0.747277,0.980392,0.587234,0.646667,0.710602,0.986928,0.967914,0.885106,0.922705,0.979275,0.889503,0.634146,0.916031,0.928839,0.895522,0.724638,1.0,0.780877,0.761194,0.927152,0.844504,0.947674
35,34399,Muratsuchi,Al,Assembly,66,Democrat,0.748252,0.993464,0.729167,0.634409,0.661972,0.873874,0.339552,0.963235,0.954545,0.984,0.971429,0.938776,0.944444,0.979167,0.312925,0.929825,0.87931,0.946667,0.986486,0.603604,0.948454,0.764045,0.564516,0.746377,1.0,0.987654,0.921348,0.823529,0.951219,0.975,0.72093,0.755556,0.956098,0.903226,0.932203,1.0,0.860465,0.705882,0.964497,0.89726,0.96
36,34400,Quirk-Silva,Sharon,Assembly,67,Democrat,0.664286,0.976378,0.79661,0.869159,0.655738,0.851852,0.533333,0.968153,0.923913,1.0,0.876543,0.965116,0.86747,0.869565,0.513889,0.90625,0.711864,0.930556,0.929577,0.608247,0.973684,0.794872,0.584906,0.75,0.989247,0.902439,0.916667,0.714286,0.73913,0.909091,0.673267,0.705882,0.861111,0.866667,0.891304,0.952381,0.8,0.676471,0.89697,0.83,0.950704
37,35053,Mckinnor,Tina,Assembly,61,Democrat,0.757576,0.989474,0.638889,0.538462,0.387755,0.844444,0.278196,1.0,0.708333,1.0,0.972973,1.0,0.972222,0.990291,0.191176,0.836735,0.897959,0.882353,1.0,0.85,1.0,0.56,0.568627,0.597015,1.0,1.0,0.850746,0.927273,1.0,0.941176,0.594595,0.906977,1.0,0.885714,0.829268,1.0,0.6,0.794872,0.947761,0.985915,0.971429
38,35497,Ward,Chris,Assembly,78,Democrat,0.676923,0.962025,0.791209,0.813008,0.5,0.916667,0.335294,1.0,0.78,0.991379,1.0,0.95,0.977273,0.99187,0.220588,0.846154,0.92,0.888889,0.971429,0.803922,1.0,0.693878,0.629032,0.728261,0.97561,1.0,0.925926,0.903846,0.981132,0.97561,0.632,0.833333,0.933333,0.796875,0.795455,0.971429,0.685714,0.848485,0.983871,0.869159,0.932432
39,36368,Stern,Henry,Senate,27,Democrat,0.774818,0.947566,0.868132,0.704403,0.571429,0.895349,0.282805,0.992982,0.797753,0.968254,0.946667,0.956989,0.974026,0.963746,0.2657,0.811594,0.882979,0.957265,0.962963,0.738938,0.974843,0.648,0.642857,0.707483,0.985185,0.956522,0.897321,0.881818,0.969466,0.895028,0.665179,0.897436,0.961686,0.802198,0.803419,1.0,0.82377,0.619048,0.947368,0.883333,0.969231
40,36813,Cervantes,Sabrina,Assembly,58,Democrat,0.649123,0.992188,0.78125,0.764706,0.810811,0.84507,0.391667,0.944954,0.935065,1.0,0.942857,0.96,0.910714,0.947368,0.377358,0.909091,0.822222,0.952381,1.0,0.546667,0.984127,0.790323,0.530612,0.642857,1.0,0.972603,0.916667,0.717949,0.76,0.945205,0.597222,0.647059,0.903226,0.90625,0.923077,1.0,0.692308,0.64,0.945578,0.8625,0.951923
